˦	96	+	100 (40)
̚	80	+	100 (10)
ɬ	78	+	100 (10)
ʝ	77	+	97.5609756098 (40)
ɳ	76	-	100 (8)
ʷ	75	-	100 (7)
ʈ	71	-	100 (6)
ẓ	68	+	100 (6)
ʂ	68	+	93.75 (15)
ĩ	61	-	78.5714285714 (11)
ο	61	+	100 (6)
ὐ	60	+	100 (6)
ø	58	-	80.0 (8)
ʉ	58	-	80.0 (8)
ɱ	56	+	100 (6) - sy*m*phony
̆	52	-	100 (3)
é	52	-	85.7142857143 (6) - 
˞	52	-	80.0 (4)
ô	48	-	75.0 (6)
ō	45	+	87.5 (7)
 	43	-	100 (2)
ɻ	43	-	75.0 (12) - *r*un
ɵ	41	-	75.0 (3)
:	40	-	66.6666666667 (4)
ū	40	+	100 (4)
υ	37	+	100 (3)
ä	37	+	85.7142857143 (6)
̀	37	+	83.3333333333 (10)
ħ	36	+	83.3333333333 (5)
κ	34	+	100 (3)
ɥ	34	-	66.6666666667 (2)
ì	33	-	66.6666666667 (2)
œ	32	-	64.7058823529 (11)
̶	30	-	100 (1)
Ο	30	+	100 (3)
ç	28	-	62.5 (5)
ó	28	-	100 (1)
3	28	-	60.0 (3)
ʀ	27	-	63.6363636364 (7)
š	27	+	100 (3)
ǐ	26	-	57.1428571429 (4)
ǔ	26	+	100 (3)
c	25	+	80.0 (4)
̞	24	+	79.1666666667 (19)
ˣ	24	+	100 (2)
ũ	24	-	100 (1)
ʼ	23	+	75.0 (6)
ⁿ	23	-	100 (1)
ʏ	22	+	73.3333333333 (11)
​	22	-	50.0 (1)
ɲ	22	-	57.1428571429 (4)
ē	22	+	75.0 (6)
û	21	-	50.0 (2)
q	21	+	75.0 (6)
,	20	+	71.4285714286 (10)
ẽ	20	-	58.3333333333 (7)
õ	17	-	100 (1)
ˢ	17	-	62.5 (10)
‌	16	+	100 (1)
̮	15	+	100 (1)
ǒ	15	+	66.6666666667 (6)
ɟ	15	+	66.6666666667 (6)
̠	15	-	60.8695652174 (14)
ɖ	15	-	54.5454545455 (6)
ṭ	15	-	100 (1)
ɘ	14	-	57.1428571429 (8)
ʰ	14	+	73.7373737374 (73)
ʐ	13	+	100 (1)
ˠ	13	-	74.1935483871 (46)
â	13	-	55.5555555556 (10)
ò	13	-	100 (1)
˩	12	+	80.0 (4)
ā	12	+	61.5384615385 (8)
´	12	+	100 (1)
ǎ	12	+	61.5384615385 (8)
͉	11	+	100 (1)
ɣ	11	+	64.7058823529 (11)
ʎ	11	-	55.5555555556 (10)
S	10	+	100 (1)
ɧ	10	+	75.0 (3)
̥	9	-	67.6470588235 (69)
ˀ	9	-	67.0454545455 (59)
ŭ	9	+	100 (1)
̄	9	+	75.0 (3)
χ	9	-	40.0 (2)
β	7	+	66.6666666667 (16)
~	7	+	100 (1)
ī	7	+	66.6666666667 (4)
ɕ	7	+	66.6666666667 (4)
ɒ	7	-	58.0 (522)
ɦ	6	+	75.0 (3)
o	6	+	51.8787878788 (428)
ʍ	6	+	66.6666666667 (4)
f	6	-	59.5646437995 (903)
î	6	-	42.8571428571 (3)
ɽ	6	+	66.6666666667 (4)
ʃ	5	+	47.3965287049 (710)
̊	5	+	65.3846153846 (17)
'	5	+	58.904109589 (43)
g	5	+	55.6451612903 (69)
̯	5	-	58.7786259542 (77)
̪	4	-	61.6438356164 (45)
ɐ	4	+	54.2372881356 (64)
ɔ	4	-	58.3842498303 (860)
ʌ	4	-	61.6197183099 (700)
U	4	+	100 (1)
ě	4	-	45.4545454545 (5)
ã	3	-	42.8571428571 (3)
ʔ	3	+	63.6363636364 (14)
[	3	+	50.98855359 (490)
ð	3	-	57.8947368421 (99)
̈	3	-	33.3333333333 (1)
]	3	+	50.98855359 (490)
á	3	+	60.0 (6)
b	3	-	57.3113207547 (1215)
í	3	-	50.0 (7)
ɫ	3	+	56.7567567568 (105)
’	3	-	44.4444444444 (4)
-	3	-	56.2486693634 (2642)
ʲ	3	-	55.0 (33)
θ	3	-	55.6603773585 (118)
ŋ	3	-	56.0160427807 (419)
ê	3	+	62.5 (5)
u	3	+	47.9023646072 (628)
 	2	+	49.3827160494 (40)
ɜ	2	-	59.7752808989 (266)
d	2	-	55.3096179183 (2099)
ʕ	2	+	53.8461538462 (7)
j	2	+	48.7212276215 (381)
n	2	+	47.7295459092 (2386)
v	2	+	54.7511312217 (605)
ŏ	2	+	100 (1)
ɑ	2	+	47.1711976488 (642)
ɡ	2	-	55.2305961755 (491)
e	2	+	50.0 (1028)
ʋ	1	-	45.4545454545 (20)
(	1	+	44.512195122 (657)
l	1	+	49.2266902342 (2228)
p	1	+	49.9314755596 (1093)
h	1	+	50.5995203837 (211)
ː	1	+	47.1454880295 (1792)
͡	1	-	52.380952381 (55)
s	1	-	56.1141304348 (2891)
w	1	+	51.5974440895 (323)
ɛ	1	+	50.463149416 (1253)
.	1	+	50.3189227498 (2130)
a	1	-	51.1637080868 (1297)
ɚ	1	+	47.963800905 (212)
r	1	-	55.0663129973 (1038)
z	1	-	54.1832669323 (408)
ʊ	1	-	56.4436183395 (911)
ʒ	1	-	54.2009884679 (329)
)	1	+	44.4745762712 (656)
ɝ	1	+	49.7409326425 (96)
i	1	+	48.3146067416 (1720)
m	1	+	50.5451373746 (1159)
̩	1	+	51.914893617 (122)
y	1	-	53.1914893617 (75)
