/	10282
ɪ	3696
ˈ	3634
ə	3423
t	3044
n	2386
s	2261
l	2228
.	2130
-	2055
ː	1792
i	1720
d	1696
k	1619
ɹ	1338
ɛ	1253
a	1238
m	1159
p	1093
e	1028
b	905
r	847
æ	808
ʃ	710
ʊ	703
(	657
)	656
ɑ	642
u	628
ɔ	613
f	613
v	605
[	490
]	490
ʌ	436
o	428
ɡ	398
ˌ	384
j	381
ɒ	378
z	345
ŋ	329
w	323
ʒ	278
ɚ	212
h	211
ɜ	179
ʁ	164
̃	160
ɾ	128
̩	122
ɫ	105
ɝ	96
θ	94
ʰ	73
ð	72
g	69
y	66
ɐ	64
ɨ	57
̯	54
͡	50
'	43
 	40
ʝ	40
˦	40
̥	33
ˀ	29
̪	28
ʲ	27
ʋ	24
x	20
̞	19
ᵻ	18
̊	17
β	16
ˠ	16
ʂ	15
ʔ	14
ʏ	11
ɣ	11
̚	10
,	10
ɬ	10
̀	10
̠	9
ā	8
ǎ	8
ʎ	8
â	8
ō	7
ʕ	7
í	7
ẓ	6
ɘ	6
ˢ	6
ʼ	6
ǒ	6
ɟ	6
ä	6
ο	6
ὐ	6
á	6
ē	6
ě	6
ɱ	6
œ	6
q	6
ẽ	5
ɖ	5
’	5
ħ	5
ê	5
ã	4
ʀ	4
ɻ	4
ʍ	4
c	4
˩	4
ī	4
ɕ	4
ū	4
î	4
ɽ	4
υ	3
ç	3
ɦ	3
κ	3
ɲ	3
ǐ	3
̄	3
Ο	3
χ	3
ɧ	3
š	3
ǔ	3
ĩ	3
ˣ	2
û	2
3	2
ô	2
ø	2
ʉ	2
̈	2
:	2
‌	1
̮	1
é	1
ʐ	1
´	1
͉	1
S	1
ŭ	1
ì	1
~	1
ɵ	1
​	1
U	1
ɥ	1
ŏ	1
˞	1
